Sr. No.,Round No,Period,City Name,PIN Code,Gender Of Respondent,Age Group,Category of Respondent,Expectations on prices in next 3 months - General,Expectations on prices in next 3 months - Food products,Expectations on prices in next 3 months - Non food products,Expectations on prices in next 3 months - Household durables,Expectations on prices in next 3 months - Housing,Expectations on prices in next 3 months - Services,Expectations on prices in next 1 year - General,Expectations on prices in next 1 year - Food products,Expectations on prices in next 1 year - Non food products,Expectations on prices in next 1 year - Household durables,Expectations on prices in next 1 year - Housing,Expectations on prices in next 1 year - Services,View on Current Inflation Rate,View on Current Inflation Rate - actual rate for above 16%,View on 3 Months ahead Inflation Rate,View on 3 Months ahead Inflation Rate - actual rate for above 16%,View on 1 Year ahead Inflation Rate,View on 1 Year ahead Inflation Rate - actual rate for above 16%,City_Tier,Respondent_Category,Numeric_Rate,Modified View on Current Inflation Rate
1,62,Jan-2021,Ahmedabad,380000.0,Female,25 to 30 years,HOMEMAKER,Price increase more than current rate,Price increase similar to current rate,Price increase similar to current rate,Price increase less than current rate,Price increase similar to current rate,No change in prices,Price increase more than current rate,Price increase similar to current rate,No change in prices,Price increase similar to current rate,Price increase similar to current rate,Price increase similar to current rate,5-6,,6-7,,10-11,,Tier 1,Homemaker,5.0,5-10
2,62,Jan-2021,Ahmedabad,380001.0,Male,55 to 60 years,Other employees,Price increase less than current rate,Price increase more than current rate,Price increase less than current rate,Price increase less than current rate,No change in prices,No change in prices,Price increase less than current rate,Price increase less than current rate,No change in prices,Price increase less than current rate,No change in prices,No change in prices,10-11,,8-9,,8-9,,Tier 1,Others,10.0,10-15
3,62,Jan-2021,Ahmedabad,380001.0,Male,40 to 45 years,Daily workers,Price increase similar to current rate,Price increase more than current rate,Price increase similar to current rate,Price increase similar to current rate,Price increase more than current rate,Price increase similar to current rate,Price increase similar to current rate,Price increase similar to current rate,Price increase similar to current rate,Price increase similar to current rate,Price increase similar to current rate,Price increase similar to current rate,8-9,,8-9,,8-9,,Tier 1,Unorganized Workers,8.0,5-10
4,62,Jan-2021,Ahmedabad,380001.0,Male,Up to 25 years,Other employees,Price increase less than current rate,Price increase less than current rate,Price increase less than current rate,No change in prices,Price increase more than current rate,No change in prices,Price increase less than current rate,Decline in price,Decline in price,Price increase similar to current rate,Price increase more than current rate,Decline in price,8-9,,4-5,,4-5,,Tier 1,Others,8.0,5-10
5,62,Jan-2021,Ahmedabad,380001.0,Male,50 to 55 years,Other category,Price increase similar to current rate,Price increase less than current rate,Price increase similar to current rate,No change in prices,No change in prices,Price increase less than current rate,Price increase similar to current rate,Price increase similar to current rate,Price increase similar to current rate,Price increase similar to current rate,No change in prices,Price increase similar to current rate,10-11,,10-11,,10-11,,Tier 1,Others,10.0,10-15
6,62,Jan-2021,Ahmedabad,380001.0,Male,25 to 30 years,Other employees,Price increase less than current rate,No change in prices,Price increase less than current rate,No change in prices,Price increase less than current rate,Price increase less than current rate,Price increase less than current rate,Price increase less than current rate,Price increase less than current rate,Price increase less than current rate,Price increase more than current rate,No change in prices,6-7,,4-5,,4-5,,Tier 1,Others,6.0,5-10
7,62,Jan-2021,Ahmedabad,380001.0,Male,45 to 50 years,Other employees,Price increase similar to current rate,Price increase similar to current rate,Price increase similar to current rate,Price increase more than current rate,No change in prices,Price increase less than current rate,Price increase similar to current rate,Price increase similar to current rate,No change in prices,Price increase similar to current rate,Price increase less than current rate,Price increase less than current rate,10-11,,10-11,,10-11,,Tier 1,Others,10.0,10-15
8,62,Jan-2021,Ahmedabad,380001.0,Female,30 to 35 years,Other employees,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,>=16,25.0,>=16,30.0,>=16,35.0,Tier 1,Others,16.0,15-20
9,62,Jan-2021,Ahmedabad,380001.0,Female,55 to 60 years,HOMEMAKER,Price increase similar to current rate,Price increase less than current rate,Price increase similar to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,10-11,,10-11,,15-16,,Tier 1,Homemaker,10.0,10-15
10,62,Jan-2021,Ahmedabad,380001.0,Female,35 to 40 years,Self-Employed,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,8-9,,10-11,,10-11,,Tier 1,Employed,8.0,5-10
